producer_muni,producer_industry,producer_cell,flow,value
151,s07,r151_s07,Producer imports,0.0
151,s08,r151_s08,Producer imports,495484928.0000002
151,s09,r151_s09,Producer imports,251602575.99999997
151,s10,r151_s10,Producer imports,369617568.0
151,s11,r151_s11,Producer imports,241702800.0
151,s12,r151_s12,Producer imports,1025795519.9999998
151,s13,r151_s13,Producer imports,1055286847.9999994
151,s14,r151_s14,Producer imports,98353712.0
151,s15,r151_s15,Producer imports,4071701248.000002
151,s16,r151_s16,Producer imports,2120819071.9999964
151,s17,r151_s17,Producer imports,182719871.9999999
151,s18,r151_s18,Producer imports,18183786.000000004
151,s19,r151_s19,Producer imports,8621106.0
151,s20,r151_s20,Producer imports,114494056.0
151,s21,r151_s21,Producer imports,16136649.067858228
151,s24,r151_s24,Producer imports,155426415.99999994
151,s26,r151_s26,Producer imports,38646728.0
151,s27,r151_s27,Producer imports,289647680.0000002
151,s77,r151_s77,Producer imports,110358.16406249984
151,s88,r151_s88,Producer imports,572367.9999999969
151,s99,r151_s99,Producer imports,1463897.624999996
151,s01,r151_s01,Producer product taxes paid,12715274.359346887
151,s02,r151_s02,Producer product taxes paid,12161498.651600106
151,s03,r151_s03,Producer product taxes paid,2469905.6121566086
151,s04,r151_s04,Producer product taxes paid,42945351.3236553
151,s05,r151_s05,Producer product taxes paid,11070494.25707349
151,s06,r151_s06,Producer product taxes paid,1512540.7047410402
151,s07,r151_s07,Producer product taxes paid,0.0
151,s08,r151_s08,Producer product taxes paid,58081443.95697055
151,s09,r151_s09,Producer product taxes paid,5961445.626472781
151,s10,r151_s10,Producer product taxes paid,6498171.349340243
151,s11,r151_s11,Producer product taxes paid,6536624.94825815
151,s12,r151_s12,Producer product taxes paid,35435520.12798701
151,s13,r151_s13,Producer product taxes paid,39353403.76707002
151,s14,r151_s14,Producer product taxes paid,12023638.958194911
151,s15,r151_s15,Producer product taxes paid,68977232.76108441
151,s16,r151_s16,Producer product taxes paid,84037788.01558223
151,s17,r151_s17,Producer product taxes paid,129351221.85226648
151,s18,r151_s18,Producer product taxes paid,12613301.141675409
151,s19,r151_s19,Producer product taxes paid,895495.6317980067
151,s20,r151_s20,Producer product taxes paid,4324466.993612539
151,s21,r151_s21,Producer product taxes paid,1556631.418245677
151,s24,r151_s24,Producer product taxes paid,117805130.54646178
151,s26,r151_s26,Producer product taxes paid,46002589.93833572
151,s27,r151_s27,Producer product taxes paid,194169815.4790072
151,s77,r151_s77,Producer product taxes paid,3406627.6977532785
151,s88,r151_s88,Producer product taxes paid,36177923.78665856
151,s99,r151_s99,Producer product taxes paid,45188807.27170971
151,s01,r151_s01,Producer sales to capital accumulation cell,511172.929674369
151,s02,r151_s02,Producer sales to capital accumulation cell,10522339.299980037
151,s03,r151_s03,Producer sales to capital accumulation cell,10514487.521527788
151,s04,r151_s04,Producer sales to capital accumulation cell,65654483.20321766
151,s05,r151_s05,Producer sales to capital accumulation cell,97889649.86064206
151,s06,r151_s06,Producer sales to capital accumulation cell,994398.774787458
151,s07,r151_s07,Producer sales to capital accumulation cell,0.0
151,s08,r151_s08,Producer sales to capital accumulation cell,263530549.00411057
151,s09,r151_s09,Producer sales to capital accumulation cell,242587169.8430569
151,s10,r151_s10,Producer sales to capital accumulation cell,31825548.63493839
151,s11,r151_s11,Producer sales to capital accumulation cell,11126083.596934186
151,s12,r151_s12,Producer sales to capital accumulation cell,2236660269.9863067
151,s13,r151_s13,Producer sales to capital accumulation cell,1373311739.9957445
151,s14,r151_s14,Producer sales to capital accumulation cell,8662921.091483481
151,s15,r151_s15,Producer sales to capital accumulation cell,2729017404.731342
151,s16,r151_s16,Producer sales to capital accumulation cell,1012522889.5301127
151,s17,r151_s17,Producer sales to capital accumulation cell,409745689.3297287
151,s18,r151_s18,Producer sales to capital accumulation cell,8280666.347045211
151,s19,r151_s19,Producer sales to capital accumulation cell,343608.003904846
151,s20,r151_s20,Producer sales to capital accumulation cell,318314891.53682417
151,s21,r151_s21,Producer sales to capital accumulation cell,607054.3265102223
151,s24,r151_s24,Producer sales to capital accumulation cell,14238575.554431291
151,s26,r151_s26,Producer sales to capital accumulation cell,71022194.400842
151,s27,r151_s27,Producer sales to capital accumulation cell,34072650.498714715
151,s77,r151_s77,Producer sales to capital accumulation cell,42325.883161721526
151,s88,r151_s88,Producer sales to capital accumulation cell,0.0
151,s99,r151_s99,Producer sales to capital accumulation cell,561451.49448113
151,s01,r151_s01,Producer sales to government,18892.076171875
151,s02,r151_s02,Producer sales to government,62724848.0
151,s03,r151_s03,Producer sales to government,4040385.25
151,s04,r151_s04,Producer sales to government,309094175.99999994
151,s05,r151_s05,Producer sales to government,1162338.5000000002
151,s06,r151_s06,Producer sales to government,734926.8125
151,s07,r151_s07,Producer sales to government,0.0
151,s08,r151_s08,Producer sales to government,923231.3125
151,s09,r151_s09,Producer sales to government,21851.826171875
151,s10,r151_s10,Producer sales to government,0.0
151,s11,r151_s11,Producer sales to government,3909618.500000001
151,s12,r151_s12,Producer sales to government,93670456.0
151,s13,r151_s13,Producer sales to government,114728568.0
151,s14,r151_s14,Producer sales to government,157411152.0
151,s15,r151_s15,Producer sales to government,57689708.0
151,s16,r151_s16,Producer sales to government,55089132.0
151,s17,r151_s17,Producer sales to government,6472054.0
151,s18,r151_s18,Producer sales to government,155964367.99999997
151,s19,r151_s19,Producer sales to government,9.56667613983154
151,s20,r151_s20,Producer sales to government,11674765.0
151,s21,r151_s21,Producer sales to government,3674721.25
151,s24,r151_s24,Producer sales to government,2132228736.0
151,s26,r151_s26,Producer sales to government,1067106880.0
151,s27,r151_s27,Producer sales to government,2846107904.0000005
151,s77,r151_s77,Producer sales to government,0.0
151,s88,r151_s88,Producer sales to government,0.0
151,s99,r151_s99,Producer sales to government,0.0
153,s01,r153_s01,Producer dividends paid,670453.4429909661
153,s02,r153_s02,Producer dividends paid,28796700.50470894
153,s03,r153_s03,Producer dividends paid,1336126.7187353943
153,s04,r153_s04,Producer dividends paid,11427821.766848462
153,s05,r153_s05,Producer dividends paid,5599784.103286048
153,s06,r153_s06,Producer dividends paid,2674688.0131746475
153,s07,r153_s07,Producer dividends paid,0.0
153,s08,r153_s08,Producer dividends paid,0.0
153,s09,r153_s09,Producer dividends paid,2987798.7821015986
153,s10,r153_s10,Producer dividends paid,885777.2165767803
153,s11,r153_s11,Producer dividends paid,0.0
153,s12,r153_s12,Producer dividends paid,31106741.19094405
153,s13,r153_s13,Producer dividends paid,19403475.8063708
153,s14,r153_s14,Producer dividends paid,739065.0759963415
153,s15,r153_s15,Producer dividends paid,35235380.61236448
153,s16,r153_s16,Producer dividends paid,128098673.25867778
153,s17,r153_s17,Producer dividends paid,17085856.616325773
153,s18,r153_s18,Producer dividends paid,0.0
153,s19,r153_s19,Producer dividends paid,85326.56234418144
153,s20,r153_s20,Producer dividends paid,7543524.577659531
153,s21,r153_s21,Producer dividends paid,8978775.144856675
153,s24,r153_s24,Producer dividends paid,0.0
153,s26,r153_s26,Producer dividends paid,4047666.571530325
153,s27,r153_s27,Producer dividends paid,1979609.5052323
