consumer_muni,consumer_industry,consumer_cell,s_foreign_
157,s03,157s03,0.1271408241497716
157,s04,157s04,0.1212250863259615
157,s05,157s05,0.1076281759554722
157,s06,157s06,0.1237612621969348
157,s07,157s07,0.0961954055435301
157,s08,157s08,0.0842150135354709
157,s09,157s09,0.1144224035618244
157,s10,157s10,0.0895811164258272
157,s11,157s11,0.1177228915110903
157,s12,157s12,0.1196414864630621
157,s13,157s13,0.1329244432137305
157,s14,157s14,0.1294406106834092
157,s15,157s15,0.13197064264508
157,s16,157s16,0.1284316176195004
157,s17,157s17,0.1154067897348341
157,s18,157s18,0.1036577763096339
157,s19,157s19,0.1217119447148009
157,s20,157s20,0.0999825666591799
157,s21,157s21,0.0967794037564577
157,s22,157s22,0.1259660110819205
157,s23,157s23,0.0757288744265271
157,s24,157s24,0.1155045970331012
157,s25,157s25,0.162327503434353
157,s26,157s26,0.1291374750886223
157,s27,157s27,0.1065429137668848
157,s28,157s28,0.0962267546843168
159,s01,159s01,0.1197059039581765
159,s02,159s02,0.1004025513069145
159,s03,159s03,0.1042665296356683
159,s04,159s04,0.0983507918118583
159,s05,159s05,0.0847538814413689
159,s06,159s06,0.1008869676828315
159,s07,159s07,0.0733211110294268
159,s08,159s08,0.0613407190213677
159,s09,159s09,0.0915481090477211
159,s10,159s10,0.0667068219117239
159,s11,159s11,0.094848596996987
159,s12,159s12,0.0967671919489588
159,s13,159s13,0.1100501486996271
159,s14,159s14,0.1065663161693059
159,s15,159s15,0.1090963481309768
159,s16,159s16,0.1055573231053972
159,s17,159s17,0.0925324952207309
159,s18,159s18,0.0807834817955306
159,s19,159s19,0.0988376502006976
159,s20,159s20,0.0771082721450766
159,s21,159s21,0.0739051092423545
159,s22,159s22,0.1030917165678174
159,s23,159s23,0.0528545799124238
159,s24,159s24,0.092630302518998
159,s25,159s25,0.1394532089202498
159,s26,159s26,0.1062631805745191
159,s27,159s27,0.0836686192527816
159,s28,159s28,0.0733524601702136
161,s01,161s01,0.1047940541043487
161,s02,161s02,0.0854907014530868
161,s03,161s03,0.0893546797818406
161,s04,161s04,0.0834389419580305
161,s05,161s05,0.0698420315875412
161,s06,161s06,0.0859751178290038
161,s07,161s07,0.058409261175599
161,s08,161s08,0.0464288691675399
161,s09,161s09,0.0766362591938933
161,s10,161s10,0.0517949720578962
161,s11,161s11,0.0799367471431592
161,s12,161s12,0.0818553420951311
161,s13,161s13,0.0951382988457994
161,s14,161s14,0.0916544663154782
161,s15,161s15,0.0941844982771491
161,s16,161s16,0.0906454732515694
161,s17,161s17,0.0776206453669031
161,s18,161s18,0.0658716319417028
161,s19,161s19,
161,s20,161s20,0.0621964222912488
161,s21,161s21,
161,s22,161s22,0.0881798667139897
161,s23,161s23,0.0379427300585961
161,s24,161s24,0.0777184526651703
161,s25,161s25,0.124541359066422
161,s26,161s26,0.0913513307206913
161,s27,161s27,0.0687567693989538
161,s28,161s28,0.0584406103163858
163,s01,163s01,0.103436178053418
163,s02,163s02,0.084132825402156
163,s03,163s03,0.0879968037309098
163,s04,163s04,0.0820810659070997
163,s05,163s05,0.0684841555366103
163,s06,163s06,0.084617241778073
163,s07,163s07,0.0570513851246683
163,s08,163s08,0.0450709931166091
163,s09,163s09,0.0752783831429625
163,s10,163s10,0.0504370960069655
163,s11,163s11,0.0785788710922285
163,s12,163s12,0.0804974660442003
163,s13,163s13,0.0937804227948685
163,s14,163s14,0.0902965902645473
163,s15,163s15,0.0928266222262182
163,s16,163s16,0.0892875972006386
163,s17,163s17,0.0762627693159723
163,s18,163s18,0.0645137558907721
163,s19,163s19,
163,s20,163s20,0.060838546240318
163,s21,163s21,
163,s22,163s22,0.0868219906630589
163,s23,163s23,0.0365848540076653
163,s24,163s24,0.0763605766142395
163,s25,163s25,0.1231834830154912
163,s26,163s26,0.0899934546697606
163,s27,163s27,0.067398893348023
163,s28,163s28,0.057082734265455
165,s01,165s01,0.0934614362405735
165,s02,165s02,0.0741580835893115
165,s03,165s03,0.0780220619180654
165,s04,165s04,0.0721063240942552
165,s05,165s05,0.0585094137237659
165,s06,165s06,0.0746424999652286
165,s07,165s07,0.0470766433118238
165,s08,165s08,0.0350962513037647
165,s09,165s09,0.0653036413301182
165,s10,165s10,0.040462354194121
165,s11,165s11,0.0686041292793841
165,s12,165s12,0.0705227242313558
165,s13,165s13,0.0838056809820241
165,s14,165s14,0.080321848451703
165,s15,165s15,0.0828518804133739
165,s16,165s16,0.0793128553877942
165,s17,165s17,0.0662880275031278
165,s18,165s18,0.0545390140779276
165,s19,165s19,0.0725931824830947
165,s20,165s20,0.0508638044274736
165,s21,165s21,
165,s22,165s22,0.0768472488502144
165,s23,165s23,0.0266101121948209
165,s24,165s24,0.066385834801395
165,s25,165s25,0.1132087412026468
165,s26,165s26,0.0800187128569161
165,s27,165s27,0.0574241515351786
165,s28,165s28,0.0471079924526106
167,s01,167s01,0.1057886004471015
167,s02,167s02,0.0864852477958395
167,s03,167s03,0.0903492261245933
167,s04,167s04,0.0844334883007832
167,s05,167s05,0.0708365779302939
167,s06,167s06,0.0869696641717565
167,s07,167s07,0.0594038075183518
167,s08,167s08,0.0474234155102926
167,s09,167s09,0.0776308055366461
167,s10,167s10,0.052789518400649
167,s11,167s11,0.080931293485912
167,s12,167s12,0.0828498884378838
167,s13,167s13,0.0961328451885521
167,s14,167s14,0.0926490126582309
167,s15,167s15,0.0951790446199017
167,s16,167s16,0.0916400195943222
167,s17,167s17,0.0786151917096558
167,s18,167s18,0.0668661782844556
167,s19,167s19,0.0849203466896226
167,s20,167s20,0.0631909686340015
167,s21,167s21,0.0599878057312795
167,s22,167s22,0.0891744130567424
167,s23,167s23,0.0389372764013489
167,s24,167s24,0.078712999007923
167,s25,167s25,0.1255359054091746
