consumer_muni,consumer_industry,consumer_cell,flow,value
846,s28,r846_s28,Consumer product taxes paid (predicted),22411704.45453798
846,s01,r846_s01,Consumer social benefits received,22668086.80690439
846,s02,r846_s02,Consumer social benefits received,17201080.07972337
846,s03,r846_s03,Consumer social benefits received,24941070.37378482
846,s04,r846_s04,Consumer social benefits received,71684579.68487678
846,s05,r846_s05,Consumer social benefits received,17120386.886083145
846,s06,r846_s06,Consumer social benefits received,7573154.226045194
846,s07,r846_s07,Consumer social benefits received,930398.141041246
846,s08,r846_s08,Consumer social benefits received,1558422.8384329567
846,s09,r846_s09,Consumer social benefits received,3362009.2230717465
846,s10,r846_s10,Consumer social benefits received,13459117.724305306
846,s11,r846_s11,Consumer social benefits received,17584308.774749745
846,s12,r846_s12,Consumer social benefits received,40642932.76918984
846,s13,r846_s13,Consumer social benefits received,21374960.827727742
846,s14,r846_s14,Consumer social benefits received,45939882.05054943
846,s15,r846_s15,Consumer social benefits received,79085168.97779712
846,s16,r846_s16,Consumer social benefits received,46376923.05121369
846,s17,r846_s17,Consumer social benefits received,31204347.503943663
846,s18,r846_s18,Consumer social benefits received,33026219.148378044
846,s19,r846_s19,Consumer social benefits received,35944700.13268144
846,s20,r846_s20,Consumer social benefits received,4676830.244692089
846,s21,r846_s21,Consumer social benefits received,1070331.7476900108
846,s22,r846_s22,Consumer social benefits received,554854202.1889741
846,s23,r846_s23,Consumer social benefits received,1651605891.990394
846,s24,r846_s24,Consumer social benefits received,143792039.5643111
846,s25,r846_s25,Consumer social benefits received,34290986.74163834
846,s26,r846_s26,Consumer social benefits received,66279916.3022039
846,s27,r846_s27,Consumer social benefits received,35660162.615699925
846,s28,r846_s28,Consumer social benefits received,177454901.38175043
846,s01,r846_s01,Consumer social contributions paid,6266707.105003827
846,s02,r846_s02,Consumer social contributions paid,7735981.134876502
846,s03,r846_s03,Consumer social contributions paid,16930147.125377256
846,s04,r846_s04,Consumer social contributions paid,96975200.96393746
846,s05,r846_s05,Consumer social contributions paid,24504266.509676524
846,s06,r846_s06,Consumer social contributions paid,3461745.200283212
846,s07,r846_s07,Consumer social contributions paid,1100293.200725025
846,s08,r846_s08,Consumer social contributions paid,7156173.257382374
846,s09,r846_s09,Consumer social contributions paid,7073077.022025432
846,s10,r846_s10,Consumer social contributions paid,13024471.477357488
846,s11,r846_s11,Consumer social contributions paid,15374025.471521722
846,s12,r846_s12,Consumer social contributions paid,74328671.97147271
846,s13,r846_s13,Consumer social contributions paid,49038014.41839243
