prod_sector,value,var_name,prod_muni_name
17,171942207.99999988,Producer imports,Frederiksberg
18,79844232.00000007,Producer imports,Frederiksberg
19,2773635.75,Producer imports,Frederiksberg
20,17321273.999999996,Producer imports,Frederiksberg
21,121033247.11437494,Producer imports,Frederiksberg
24,212343776.00000048,Producer imports,Frederiksberg
26,210099583.99999967,Producer imports,Frederiksberg
27,114442655.99999997,Producer imports,Frederiksberg
77,632909.3750000031,Producer imports,Frederiksberg
88,1269198.0000000058,Producer imports,Frederiksberg
99,3644468.50000001,Producer imports,Frederiksberg
01,36470709.48394497,Producer product taxes paid,Frederiksberg
02,43806890.02873915,Producer product taxes paid,Frederiksberg
03,5680485.5737216165,Producer product taxes paid,Frederiksberg
04,51543915.848463416,Producer product taxes paid,Frederiksberg
05,1532672.4142826577,Producer product taxes paid,Frederiksberg
06,2520088.6860396722,Producer product taxes paid,Frederiksberg
07,0.0,Producer product taxes paid,Frederiksberg
08,17679090.944545057,Producer product taxes paid,Frederiksberg
09,5532749.50655901,Producer product taxes paid,Frederiksberg
10,6511054.277170492,Producer product taxes paid,Frederiksberg
11,3159378.6407156233,Producer product taxes paid,Frederiksberg
12,15372908.315552467,Producer product taxes paid,Frederiksberg
13,19438702.708319243,Producer product taxes paid,Frederiksberg
14,10831618.751089865,Producer product taxes paid,Frederiksberg
15,6787296.872062809,Producer product taxes paid,Frederiksberg
16,6432776.2408819385,Producer product taxes paid,Frederiksberg
17,113988020.58867474,Producer product taxes paid,Frederiksberg
18,51249973.178138696,Producer product taxes paid,Frederiksberg
19,464048.3729874853,Producer product taxes paid,Frederiksberg
20,654228.5269623466,Producer product taxes paid,Frederiksberg
21,206249.54712223227,Producer product taxes paid,Frederiksberg
24,172034422.08929747,Producer product taxes paid,Frederiksberg
26,219563351.2157597,Producer product taxes paid,Frederiksberg
27,107466757.73299454,Producer product taxes paid,Frederiksberg
77,19537171.23420694,Producer product taxes paid,Frederiksberg
88,80222778.41382185,Producer product taxes paid,Frederiksberg
99,112500478.91404293,Producer product taxes paid,Frederiksberg
01,1466176.849566621,Producer sales to capital accumulation cell,Frederiksberg
02,137743535.867325,Producer sales to capital accumulation cell,Frederiksberg
03,24182054.929178383,Producer sales to capital accumulation cell,Frederiksberg
04,59110049.17971176,Producer sales to capital accumulation cell,Frederiksberg
05,826448.3866315733,Producer sales to capital accumulation cell,Frederiksberg
06,2405039.141414038,Producer sales to capital accumulation cell,Frederiksberg
07,0.0,Producer sales to capital accumulation cell,Frederiksberg
08,76234493.79224984,Producer sales to capital accumulation cell,Frederiksberg
09,286935498.18041754,Producer sales to capital accumulation cell,Frederiksberg
10,2458170.1254018582,Producer sales to capital accumulation cell,Frederiksberg
11,36382863.864404686,Producer sales to capital accumulation cell,Frederiksberg
12,665403115.9450873,Producer sales to capital accumulation cell,Frederiksberg
13,320548144.33051765,Producer sales to capital accumulation cell,Frederiksberg
14,5594677.392879823,Producer sales to capital accumulation cell,Frederiksberg
15,239777378.81748316,Producer sales to capital accumulation cell,Frederiksberg
16,76606380.3323655,Producer sales to capital accumulation cell,Frederiksberg
17,681705374.0813717,Producer sales to capital accumulation cell,Frederiksberg
18,58232009.571187854,Producer sales to capital accumulation cell,Frederiksberg
19,1866914.2817160173,Producer sales to capital accumulation cell,Frederiksberg
20,48156378.62350233,Producer sales to capital accumulation cell,Frederiksberg
21,107518.22116092884,Producer sales to capital accumulation cell,Frederiksberg
24,21212617.86663592,Producer sales to capital accumulation cell,Frederiksberg
26,1231520711.885846,Producer sales to capital accumulation cell,Frederiksberg
27,35426261.5129,Producer sales to capital accumulation cell,Frederiksberg
77,242740.98090151785,Producer sales to capital accumulation cell,Frederiksberg
88,0.0,Producer sales to capital accumulation cell,Frederiksberg
99,1397770.1015321908,Producer sales to capital accumulation cell,Frederiksberg
01,54187.38671874999,Producer sales to government,Frederiksberg
02,344523296.0,Producer sales to government,Frederiksberg
03,9292400.0,Producer sales to government,Frederiksberg
04,469251168.0,Producer sales to government,Frederiksberg
05,247431.40625,Producer sales to government,Frederiksberg
06,4847858.999999999,Producer sales to government,Frederiksberg
07,0.0,Producer sales to government,Frederiksberg
08,46012504.0,Producer sales to government,Frederiksberg
09,553385.4375000001,Producer sales to government,Frederiksberg
10,0.0,Producer sales to government,Frederiksberg
11,9845387.000000002,Producer sales to government,Frederiksberg
12,47098444.0,Producer sales to government,Frederiksberg
13,9558719.0,Producer sales to government,Frederiksberg
14,196137248.00000003,Producer sales to government,Frederiksberg
15,7549744.0,Producer sales to government,Frederiksberg
16,4277382.5,Producer sales to government,Frederiksberg
17,12108812.0,Producer sales to government,Frederiksberg
18,750061760.0,Producer sales to government,Frederiksberg
19,1639288.75,Producer sales to government,Frederiksberg
20,1766220.875,Producer sales to government,Frederiksberg
21,70275.5546875,Producer sales to government,Frederiksberg
24,3246913280.0000005,Producer sales to government,Frederiksberg
26,3885450496.000001,Producer sales to government,Frederiksberg
27,1698102400.0000002,Producer sales to government,Frederiksberg
77,0.0,Producer sales to government,Frederiksberg
88,0.0,Producer sales to government,Frederiksberg
99,0.0,Producer sales to government,Frederiksberg
01,0.0,Producer dividends paid,Ballerup
02,106699.88392117432,Producer dividends paid,Ballerup
03,15608826.640884375,Producer dividends paid,Ballerup
04,606147.9310875104,Producer dividends paid,Ballerup
05,13331461.426494516,Producer dividends paid,Ballerup
06,1157374.768614885,Producer dividends paid,Ballerup
07,0.0,Producer dividends paid,Ballerup
08,229891329.7582254,Producer dividends paid,Ballerup
09,10070453.089052305,Producer dividends paid,Ballerup
10,6323729.377135313,Producer dividends paid,Ballerup
