value,var_name,cust_sector,cust_muni_name
56447590.242647074,Consumer pension investment income,01,København
110854951.32828784,Consumer pension investment income,02,København
59095928.28298613,Consumer pension investment income,03,København
504532009.3909035,Consumer pension investment income,04,København
90201954.29523893,Consumer pension investment income,05,København
45662157.84373897,Consumer pension investment income,06,København
95075418.27619544,Consumer pension investment income,07,København
202636773.7800896,Consumer pension investment income,08,København
111565296.00494578,Consumer pension investment income,09,København
35499382.722163625,Consumer pension investment income,10,København
109684964.08173844,Consumer pension investment income,11,København
188857712.15265924,Consumer pension investment income,12,København
691178022.4698415,Consumer pension investment income,13,København
163894368.49652064,Consumer pension investment income,14,København
368305336.78058094,Consumer pension investment income,15,København
326336883.22242165,Consumer pension investment income,16,København
527324790.7597127,Consumer pension investment income,17,København
315583429.8494923,Consumer pension investment income,18,København
18129703.47832163,Consumer pension investment income,19,København
27006462.56504013,Consumer pension investment income,20,København
56255520.47448409,Consumer pension investment income,21,København
123592011.04130404,Consumer pension investment income,22,København
113697389.04623458,Consumer pension investment income,23,København
942442858.8257045,Consumer pension investment income,24,København
1139460.5102463036,Consumer pension investment income,25,København
758064142.4387051,Consumer pension investment income,26,København
577414098.0984721,Consumer pension investment income,27,København
12761724.392640011,Consumer pension investment income,28,København
568214382.8698761,Consumer product taxes paid (predicted),01,København
563008343.185246,Consumer product taxes paid (predicted),02,København
569229424.6708965,Consumer product taxes paid (predicted),03,København
662525987.5790601,Consumer product taxes paid (predicted),04,København
574376013.3035495,Consumer product taxes paid (predicted),05,København
554906913.0720446,Consumer product taxes paid (predicted),06,København
549055635.6018596,Consumer product taxes paid (predicted),07,København
560167639.0095844,Consumer product taxes paid (predicted),08,København
557137154.936681,Consumer product taxes paid (predicted),09,København
552756260.12022,Consumer product taxes paid (predicted),10,København
571127499.3877333,Consumer product taxes paid (predicted),11,København
631543907.758907,Consumer product taxes paid (predicted),12,København
627234997.7333968,Consumer product taxes paid (predicted),13,København
584372537.8671658,Consumer product taxes paid (predicted),14,København
680701224.9680907,Consumer product taxes paid (predicted),15,København
628219335.4017642,Consumer product taxes paid (predicted),16,København
600485444.0867131,Consumer product taxes paid (predicted),17,København
572470793.10457,Consumer product taxes paid (predicted),18,København
566267702.8595899,Consumer product taxes paid (predicted),19,København
554488480.8941109,Consumer product taxes paid (predicted),20,København
546565564.0289912,Consumer product taxes paid (predicted),21,København
701741485.089264,Consumer product taxes paid (predicted),22,København
879679478.7984478,Consumer product taxes paid (predicted),23,København
741749277.1096721,Consumer product taxes paid (predicted),24,København
554568889.5243723,Consumer product taxes paid (predicted),25,København
642761366.6275294,Consumer product taxes paid (predicted),26,København
612412344.9795702,Consumer product taxes paid (predicted),27,København
583443991.4311007,Consumer product taxes paid (predicted),28,København
686263860.9238085,Consumer social benefits received,01,København
462517559.1043916,Consumer social benefits received,02,København
334232709.8138018,Consumer social benefits received,03,København
1127966541.1097014,Consumer social benefits received,04,København
117851633.85263914,Consumer social benefits received,05,København
165498896.55568573,Consumer social benefits received,06,København
51009139.14180789,Consumer social benefits received,07,København
