cust_sector,s_foreign_,cust_muni_name
08,0.0453563233923089,Rødovre
09,0.0755637134186623,Rødovre
10,0.0507224262826652,Rødovre
11,0.0788642013679283,Rødovre
12,0.0807827963199,Rødovre
13,0.0940657530705684,Rødovre
14,0.0905819205402472,Rødovre
15,0.093111952501918,Rødovre
16,0.0895729274763384,Rødovre
17,0.0765480995916721,Rødovre
18,0.0647990861664718,Rødovre
19,,Rødovre
20,0.0611238765160178,Rødovre
21,0.0579207136132957,Rødovre
22,0.0871073209387586,Rødovre
23,0.0368701842833652,Rødovre
24,0.0766459068899393,Rødovre
25,0.123468813291191,Rødovre
26,0.0902787849454603,Rødovre
27,0.0676842236237228,Rødovre
28,0.0573680645411548,Rødovre
01,0.1005539565546763,Ishøj
02,0.0812506039034144,Ishøj
03,0.0851145822321682,Ishøj
04,0.0791988444083581,Ishøj
05,0.0656019340378686,Ishøj
06,0.0817350202793313,Ishøj
07,0.0541691636259266,Ishøj
08,0.0421887716178674,Ishøj
09,0.0723961616442209,Ishøj
10,0.0475548745082238,Ishøj
11,0.0756966495934869,Ishøj
12,0.0776152445454587,Ishøj
13,0.090898201296127,Ishøj
14,0.0874143687658057,Ishøj
15,0.0899444007274767,Ishøj
16,0.086405375701897,Ishøj
17,0.0733805478172307,Ishøj
18,0.0616315343920304,Ishøj
19,,Ishøj
20,0.0579563247415764,Ishøj
21,,Ishøj
22,0.0839397691643173,Ishøj
23,0.0337026325089237,Ishøj
24,0.0734783551154978,Ishøj
25,0.1203012615167496,Ishøj
26,0.0871112331710189,Ishøj
27,0.0645166718492814,Ishøj
28,0.0542005127667134,Ishøj
01,0.1123783223336541,Tårnby
02,0.0930749696823921,Tårnby
03,0.0969389480111458,Tårnby
04,0.0910232101873357,Tårnby
05,0.0774262998168464,Tårnby
06,0.093559386058309,Tårnby
07,0.0659935294049044,Tårnby
08,0.0540131373968451,Tårnby
09,0.0842205274231986,Tårnby
10,0.0593792402872015,Tårnby
11,0.0875210153724646,Tårnby
12,0.0894396103244363,Tårnby
13,0.1027225670751046,Tårnby
14,0.0992387345447835,Tårnby
15,0.1017687665064543,Tårnby
16,0.0982297414808747,Tårnby
17,0.0852049135962084,Tårnby
18,0.0734559001710082,Tårnby
19,,Tårnby
20,0.0697806905205541,Tårnby
21,0.066577527617832,Tårnby
22,0.095764134943295,Tårnby
23,0.0455269982879014,Tårnby
24,0.0853027208944755,Tårnby
25,0.1321256272957273,Tårnby
26,0.0989355989499966,Tårnby
27,0.0763410376282591,Tårnby
28,0.0660248785456911,Tårnby
01,0.0962695558468491,Vallensbæk
02,0.0769662031955871,Vallensbæk
03,0.0808301815243408,Vallensbæk
04,0.0749144437005308,Vallensbæk
05,0.0613175333300414,Vallensbæk
06,0.0774506195715041,Vallensbæk
07,0.0498847629180994,Vallensbæk
08,0.0379043709100402,Vallensbæk
09,0.0681117609363936,Vallensbæk
10,0.0432704738003965,Vallensbæk
11,0.0714122488856595,Vallensbæk
12,0.0733308438376313,Vallensbæk
13,0.0866138005882996,Vallensbæk
14,0.0831299680579784,Vallensbæk
15,0.0856600000196493,Vallensbæk
16,0.0821209749940697,Vallensbæk
17,0.0690961471094034,Vallensbæk
18,0.0573471336842031,Vallensbæk
19,,Vallensbæk
20,0.0536719240337491,Vallensbæk
21,,Vallensbæk
22,0.07965536845649,Vallensbæk
23,0.0294182318010964,Vallensbæk
24,0.0691939544076706,Vallensbæk
25,0.1160168608089222,Vallensbæk
26,0.0828268324631916,Vallensbæk
27,0.0602322711414541,Vallensbæk
28,0.0499161120588861,Vallensbæk
01,0.1081609846514978,Furesø
02,0.0888576320002359,Furesø
03,0.0927216103289895,Furesø
04,0.0868058725051794,Furesø
05,0.0732089621346901,Furesø
